feature_id	perturbation_id	effect_estimate	signal_state	signal_numeric
IN_1	P1	1.564490797269198	up	1
IN_1	P10	1.5057347443586004	up	1
IN_1	P100	0.01460445286863642	const	0
IN_1	P11	1.399340971597954	up	1
IN_1	P12	1.582391201375926	up	1
IN_1	P13	0.02145123548239489	const	0
IN_1	P14	-1.5263030474494068	down	-1
IN_1	P15	0.40435358303915553	const	0
IN_1	P16	1.717327539437598	up	1
IN_1	P17	-1.5478808578607488	down	-1
IN_1	P18	-0.18749882437613472	const	0
IN_1	P19	-1.170565033688841	down	-1
IN_1	P2	1.1757525784744896	up	1
IN_1	P20	-1.4746678780053109	down	-1
IN_1	P21	1.7211838115810982	up	1
IN_1	P22	-0.1335862982766164	const	0
IN_1	P23	0.1052830474310223	const	0
IN_1	P24	-1.6146429448013262	down	-1
IN_1	P25	0.03739903120610793	const	0
IN_1	P26	1.4167139789122989	up	1
IN_1	P27	-0.2138415049309403	const	0
IN_1	P28	-1.5157599861120687	down	-1
IN_1	P29	-1.243847033819487	down	-1
IN_1	P3	-1.5472941246627336	down	-1
IN_1	P30	1.6520795471392162	up	1
IN_1	P31	1.8280277968810292	up	1
IN_1	P32	-0.08274496028129848	const	0
IN_1	P33	1.4186123835751543	up	1
IN_1	P34	1.7796818633330924	up	1
IN_1	P35	1.7308072225845532	up	1
IN_1	P36	-1.2680312868310586	down	-1
IN_1	P37	1.384049359083793	up	1
IN_1	P38	-0.19158971355685991	const	0
IN_1	P39	-1.489164811482537	down	-1
IN_1	P4	0.15200374712482106	const	0
IN_1	P40	0.09730223438947472	const	0
IN_1	P41	-1.6738580123703075	down	-1
IN_1	P42	-0.300833117221319	const	0
IN_1	P43	1.7632446719932218	up	1
IN_1	P44	1.5737959266135884	up	1
IN_1	P45	-1.6234452094676843	down	-1
IN_1	P46	1.709482042701011	up	1
IN_1	P47	-1.3218978808545327	down	-1
IN_1	P48	0.08134006339915459	const	0
IN_1	P49	-1.076959180011661	down	-1
IN_1	P5	-0.00667337707452651	const	0
IN_1	P50	-1.3506881096562535	down	-1
IN_1	P51	0.27283408000463916	const	0
IN_1	P52	-1.6813931384381746	down	-1
IN_1	P53	0.05570337183368558	const	0
IN_1	P54	-0.13542777463179914	const	0
IN_1	P55	-1.211878540374708	down	-1
IN_1	P56	-0.1344230589748923	const	0
IN_1	P57	-0.12044664083239026	const	0
IN_1	P58	1.3543806491896584	up	1
IN_1	P59	1.7310050791864422	up	1
IN_1	P6	1.0829745438989749	up	1
IN_1	P60	-1.3308134927382231	down	-1
IN_1	P61	0.1155306323110844	const	0
IN_1	P62	0.3260727841478046	const	0
IN_1	P63	1.52986802802972	up	1
IN_1	P64	-1.145770811124612	down	-1
IN_1	P65	-1.6535556063374357	down	-1
IN_1	P66	-1.3039028261203658	down	-1
IN_1	P67	1.7313605382073936	up	1
IN_1	P68	1.46287074039961	up	1
IN_1	P69	-1.4514320383762604	down	-1
IN_1	P7	0.1898876563007585	const	0
IN_1	P70	-1.4076151365533212	down	-1
IN_1	P71	-1.5866729462975726	down	-1
IN_1	P72	-1.536767478439735	down	-1
IN_1	P73	1.368443315718401	up	1
IN_1	P74	0.47312955356409137	const	0
IN_1	P75	-0.08910605383783587	const	0
IN_1	P76	1.163133103625683	up	1
IN_1	P77	1.2505626395652725	up	1
IN_1	P78	-0.007099774122875	const	0
IN_1	P79	-1.5397085618401858	down	-1
IN_1	P8	1.3788177356658962	up	1
IN_1	P80	1.6005831329542903	up	1
IN_1	P81	-0.19494169290476884	const	0
IN_1	P82	-1.2262591549632809	down	-1
IN_1	P83	-1.3262012280769426	down	-1
IN_1	P84	1.4725772044792036	up	1
IN_1	P85	0.252153773507621	const	0
IN_1	P86	1.2484796240554772	up	1
IN_1	P87	-1.1517039822166455	down	-1
IN_1	P88	1.7149147452489966	up	1
IN_1	P89	-1.7334846901263643	down	-1
IN_1	P9	-0.02029633839880646	const	0
IN_1	P90	-1.9366139663136088	down	-1
IN_1	P91	1.4909084237429255	up	1
IN_1	P92	1.6706676474767577	up	1
IN_1	P93	1.5680000363761166	up	1
IN_1	P94	0.0279909617031809	const	0
IN_1	P95	-0.29222164474897266	const	0
IN_1	P96	-1.6165461688837055	down	-1
IN_1	P97	1.8674114419823	up	1
IN_1	P98	0.02769079625787237	const	0
IN_1	P99	-0.06984380126310329	const	0
IN_10	P1	1.4983141004315477	up	1
IN_10	P10	-1.8487499532826352	down	-1
IN_10	P100	-0.2558169019275926	const	0
IN_10	P11	-1.7733729236060327	down	-1
IN_10	P12	0.3208470051217039	const	0
IN_10	P13	-0.285887135458479	const	0
IN_10	P14	-1.3031207364798192	down	-1
IN_10	P15	1.6512166140638571	up	1
IN_10	P16	-1.3403836961726006	down	-1
IN_10	P17	-1.3604009632197118	down	-1
IN_10	P18	-1.2237203872591875	down	-1
IN_10	P19	-0.5089254043424175	down	-1
IN_10	P2	-1.436934581713654	down	-1
IN_10	P20	0.3149888554468401	const	0
IN_10	P21	-1.457230996076634	down	-1
IN_10	P22	0.05539147438994703	const	0
IN_10	P23	0.07824674133180473	const	0
IN_10	P24	-1.405337376083233	down	-1
IN_10	P25	-0.3989639869554545	const	0
IN_10	P26	1.293903152051982	up	1
IN_10	P27	-1.4654463467202692	down	-1
IN_10	P28	-0.01309534292624787	const	0
IN_10	P29	1.292735814865143	up	1
IN_10	P3	1.5089234271748169	up	1
IN_10	P30	-1.4141420346850206	down	-1
IN_10	P31	1.7378217518879229	up	1
IN_10	P32	-0.02617991540263168	const	0
IN_10	P33	-1.755358823743709	down	-1
IN_10	P34	1.390854575601379	up	1
IN_10	P35	1.7436466059096194	up	1
IN_10	P36	-1.5463898825550155	down	-1
IN_10	P37	-1.3837500954831028	down	-1
IN_10	P38	0.29288845388802137	const	0
IN_10	P39	1.5133365284066138	up	1
IN_10	P4	1.1079925039237746	up	1
IN_10	P40	1.8359746975023368	up	1
IN_10	P41	0.01660304971674421	const	0
IN_10	P42	1.3108592793079594	up	1
IN_10	P43	1.3609332287117608	up	1
IN_10	P44	-0.04038249293363649	const	0
IN_10	P45	-1.5634467894623585	down	-1
IN_10	P46	0.05686466990853718	const	0
IN_10	P47	0.43237656123676427	const	0
IN_10	P48	1.3438652094632677	up	1
IN_10	P49	1.5149754846293009	up	1
IN_10	P5	-1.7233206669167898	down	-1
IN_10	P50	1.359929754029303	up	1
IN_10	P51	1.8515261932552811	up	1
IN_10	P52	-1.400020238478322	down	-1
IN_10	P53	0.10352754068933766	const	0
IN_10	P54	-0.10056442051779646	const	0
IN_10	P55	-0.11673029846431215	const	0
IN_10	P56	1.5062868222201191	up	1
IN_10	P57	1.4782971697626892	up	1
IN_10	P58	-1.4981764582241188	down	-1
IN_10	P59	1.452492771984003	up	1
IN_10	P6	1.5958101903596449	up	1
IN_10	P60	-1.4345603677658514	down	-1
IN_10	P61	-1.4756100503463898	down	-1
IN_10	P62	-1.4299356418850535	down	-1
IN_10	P63	-0.00867961517021238	const	0
IN_10	P64	-1.2741202094346478	down	-1
IN_10	P65	-0.11663046350780344	const	0
IN_10	P66	0.17218017240379935	const	0
IN_10	P67	0.00927787762336622	const	0
IN_10	P68	1.4255206807014342	up	1
IN_10	P69	1.313637330853538	up	1
IN_10	P7	0.2759451855818455	const	0
IN_10	P70	-1.5510549112211862	down	-1
IN_10	P71	1.9485166847422415	up	1
IN_10	P72	1.6763278593991868	up	1
IN_10	P73	1.240545922964149	up	1
IN_10	P74	0.21272435786635036	const	0
IN_10	P75	1.425597936219932	up	1
IN_10	P76	1.542898742902582	up	1
IN_10	P77	-0.14291199180579847	const	0
IN_10	P78	1.4459510148219925	up	1
IN_10	P79	0.18968672739758008	const	0
IN_10	P8	-1.3854305678304824	down	-1
IN_10	P80	1.6037895774456552	up	1
IN_10	P81	1.3260486881903375	up	1
IN_10	P82	1.2845126304198435	up	1
IN_10	P83	-1.5048489889458487	down	-1
IN_10	P84	1.3965753598029018	up	1
IN_10	P85	-1.712558414371104	down	-1
IN_10	P86	1.3521404840297313	up	1
IN_10	P87	-1.4311874735086942	down	-1
IN_10	P88	-0.05216583077525527	const	0
IN_10	P89	-1.1578394553470643	down	-1
IN_10	P9	-1.469224634078774	down	-1
IN_10	P90	1.7864369229415378	up	1
IN_10	P91	-0.02533378380074136	const	0
IN_10	P92	1.4133300188540203	up	1
IN_10	P93	0.9522167064290092	up	1
IN_10	P94	1.3931856099786462	up	1
IN_10	P95	-1.599419015484118	down	-1
IN_10	P96	1.2266989948519869	up	1
IN_10	P97	1.4361324595960605	up	1
IN_10	P98	-0.08551738638566352	const	0
IN_10	P99	1.464885216237905	up	1
IN_100	P1	1.3050879196763696	up	1
IN_100	P10	1.5021200459699953	up	1
IN_100	P100	-1.591473282093664	down	-1
IN_100	P11	-1.71507083751454	down	-1
IN_100	P12	1.5962598619735937	up	1
IN_100	P13	1.2130595509825377	up	1
IN_100	P14	1.68996510534383	up	1
IN_100	P15	-1.5530675151840296	down	-1
IN_100	P16	-1.3586862875783323	down	-1
IN_100	P17	-0.08905255013348033	const	0
IN_100	P18	-0.10073386669021069	const	0
IN_100	P19	-0.28857798446466854	const	0
IN_100	P2	-0.25663093912763185	const	0
IN_100	P20	-0.30943563091617343	const	0
IN_100	P21	-1.1639593855833985	down	-1
IN_100	P22	1.550635585284785	up	1
IN_100	P23	-1.583822973156276	down	-1
IN_100	P24	-0.38192064646562424	const	0
IN_100	P25	0.23321530950214087	const	0
IN_100	P26	-1.4316026700290956	down	-1
IN_100	P27	-0.00756295726340191	const	0
IN_100	P28	0.10503792579764946	const	0
IN_100	P29	-0.35990154479043923	const	0
IN_100	P3	-0.2305668038527259	const	0
IN_100	P30	0.10536517335610296	const	0
IN_100	P31	0.0223294964047757	const	0
IN_100	P32	-1.6919044771965184	down	-1
IN_100	P33	-0.02652986154296786	const	0
IN_100	P34	-1.4923965425688313	down	-1
IN_100	P35	1.4588842086055471	up	1
IN_100	P36	1.6332424243302293	up	1
IN_100	P37	-1.3625490160769456	down	-1
IN_100	P38	0.06331206004927187	const	0
IN_100	P39	1.7945496122629794	up	1
IN_100	P4	-0.27659773926631526	const	0
IN_100	P40	-1.4902141294639326	down	-1
IN_100	P41	-1.289281743252333	down	-1
IN_100	P42	1.515865739054486	up	1
IN_100	P43	-1.6379566603162647	down	-1
IN_100	P44	-0.05715810288708289	const	0
IN_100	P45	-1.61618029897664	down	-1
IN_100	P46	-1.4968045980965423	down	-1
IN_100	P47	-1.680559507906809	down	-1
IN_100	P48	-1.6312699238512347	down	-1
IN_100	P49	-1.7479878119224035	down	-1
IN_100	P5	-0.1268151940296754	const	0
IN_100	P50	-1.552064190896113	down	-1
IN_100	P51	1.7400676604640566	up	1
IN_100	P52	1.358559038514097	up	1
IN_100	P53	-0.14986162189319027	const	0
IN_100	P54	-1.2250133100113434	down	-1
IN_100	P55	1.5008368716512597	up	1
IN_100	P56	1.4145120777034867	up	1
IN_100	P57	1.6299556243188846	up	1
IN_100	P58	-0.16567545262572547	const	0
IN_100	P59	1.3686823668797805	up	1
IN_100	P6	1.607583120534143	up	1
IN_100	P60	-1.168728529238376	down	-1
IN_100	P61	-1.6519349861580388	down	-1
IN_100	P62	1.609637404633906	up	1
IN_100	P63	-1.5551544465343687	down	-1
IN_100	P64	-0.2228847528613433	const	0
IN_100	P65	0.03553302731011889	const	0
IN_100	P66	-1.9531611428344176	down	-1
IN_100	P67	-1.486448136639993	down	-1
IN_100	P68	-1.6423024419237864	down	-1
IN_100	P69	-0.21172756336767576	const	0
IN_100	P7	1.5244323909209334	up	1
IN_100	P70	-0.04336974755352658	const	0
IN_100	P71	0.12804518903540443	const	0
IN_100	P72	0.0758601468447481	const	0
IN_100	P73	-1.4625614281650077	down	-1
IN_100	P74	1.669331578776383	up	1
IN_100	P75	-0.07020226597472533	const	0
IN_100	P76	1.3536290398897497	up	1
